dt,open,high,low,close,volume,turnover
1616476260,54198.0,54198.0,54124.0,54124.0,3338504,61.64122593000002
1616476320,54124.0,54179.5,54124.0,54137.0,1900326,35.08846987000002
1616476380,54137.0,54137.0,54095.0,54095.5,3160957,58.42312105999997
1616476440,54095.5,54153.5,54093.0,54143.5,3967404,73.29858783
1616476500,54143.5,54146.5,54084.5,54084.5,2309264,42.68014389000006
1616476560,54084.5,54111.0,53940.0,54036.0,17094400,316.53206451
1616476620,54036.0,54102.0,53930.5,53977.5,10399825,192.61541420000003
1616476680,53977.5,53977.5,53900.0,53913.5,11454663,212.38033461999984
1616476740,53913.5,53913.5,53847.5,53854.5,9733196,180.67704093000043
1616476800,53854.5,53855.0,53728.5,53814.0,21069527,391.6271201899992
1616476860,53814.0,53945.0,53813.5,53944.5,9250451,171.7079168400004
1616476920,53944.5,54002.5,53868.0,53868.0,11377237,210.87889380000016
1616476980,53868.0,53868.5,53678.0,53680.5,13522821,251.60190638999958
1616477040,53680.5,53748.0,53634.0,53703.0,18612899,346.8149382099988
1616477100,53703.0,53703.0,53304.5,53338.0,73161509,1367.7333636500016
1616477160,53338.0,53429.5,53090.0,53390.5,107903994,2026.9599000499961
1616477220,53390.5,53510.0,53333.0,53350.0,13723978,256.92537416000056
1616477280,53350.0,53481.5,53305.0,53305.5,8761730,164.09304105999982
1616477340,53305.5,53482.5,53305.0,53355.5,10237604,191.73644815
1616477400,53355.5,53557.5,53311.0,53530.5,12958368,242.44368995
1616477460,53530.5,53554.0,53469.5,53486.5,10324598,192.92692806999958
1616477520,53486.5,53593.0,53486.0,53589.0,13837431,258.3476654400003
1616477580,53589.0,53591.0,53510.5,53586.5,9225374,172.27266252999985
1616477640,53586.5,53594.5,53510.5,53511.0,5340770,99.70003388000015
1616477700,53511.0,53511.0,53270.5,53318.5,18189712,340.9843149299986
1616477760,53318.5,53318.5,53220.0,53306.5,11435135,214.63375796999983
1616477820,53306.5,53428.5,53306.5,53428.5,8609631,161.26987051000026
1616477880,53428.5,53439.5,53381.5,53399.5,3588002,67.18270978
1616477940,53399.5,53419.5,53380.0,53404.5,3537831,66.24471460000004
1616478000,53404.5,53414.0,53322.0,53325.5,4617861,86.50583903000008
1616478060,53325.5,53385.5,53258.0,53269.5,4906957,92.0241564
1616478120,53269.5,53270.0,53122.5,53240.0,13302953,250.11070719999972
1616478180,53240.0,53364.0,53228.5,53360.0,8885440,166.69568471999992
1616478240,53360.0,53458.0,53359.5,53388.5,7885164,147.5837909900003
1616478300,53388.5,53580.5,53388.0,53558.5,14310963,267.5244509899997
1616478360,53558.5,53558.5,53457.0,53517.5,6059461,113.22320343999976
1616478420,53517.5,53596.0,53517.5,53595.5,5080091,94.87004029
1616478480,53595.5,53596.0,53545.0,53545.0,4212575,78.61839509000008
1616478540,53545.0,53571.0,53523.0,53550.0,2807015,52.42007706000002
1616478600,53550.0,53550.0,53481.5,53519.5,3890208,72.71381744999985
1616478660,53519.5,53600.0,53519.5,53577.0,3039355,56.72177630999996
1616478720,53577.0,53577.5,53540.0,53559.5,1933241,36.09351330000005
1616478780,53559.5,53640.0,53559.5,53640.0,4159990,77.59262002999989
1616478840,53640.0,53640.0,53595.5,53595.5,3019706,56.32912143000001
1616478900,53595.5,53643.5,53559.5,53643.5,2830776,52.83048080000002
1616478960,53643.5,53645.0,53596.0,53615.0,4182917,78.01414672000007
1616479020,53615.0,53650.0,53615.0,53636.0,1943328,36.229646009999975
1616479080,53636.0,53636.5,53502.0,53502.5,4041270,75.42160661000005
1616479140,53502.5,53525.0,53419.0,53520.0,6790550,126.97177629000021
1616479200,53520.0,53523.5,53454.0,53465.5,6249147,116.82385216999994
1616479260,53465.5,53466.0,53423.0,53465.5,6006284,112.36282227000021
1616479320,53465.5,53536.0,53465.5,53500.0,4313170,80.61084713999992
1616479380,53500.0,53587.0,53500.0,53587.0,1849889,34.55401732999998
1616479440,53587.0,53604.0,53586.5,53603.5,1187977,22.166457380000033
1616479500,53603.5,53618.0,53566.0,53566.5,1938483,36.170149860000016
1616479560,53566.5,53566.5,53466.0,53466.0,2909364,54.378805039999925
1616479620,53466.0,53479.5,53444.0,53444.5,2358965,44.13035733000001
1616479680,53444.5,53444.5,53420.0,53435.0,1879667,35.179744129999946
1616479740,53435.0,53468.5,53381.0,53384.0,8524815,159.66375107999986
1616479800,53384.0,53444.0,53382.0,53383.5,3069757,57.4687253
1616479860,53383.5,53383.5,53328.5,53364.0,10203111,191.25827083000019
1616479920,53364.0,53364.0,53308.0,53308.5,5818347,109.1048658200003
1616479980,53308.5,53330.0,53277.5,53278.0,8309050,155.87628233999988
1616480040,53278.0,53284.0,53238.0,53284.0,12725082,238.94050615999925
1616480100,53284.0,53409.5,53283.5,53409.5,6672264,125.05845318999985
1616480160,53409.5,53431.0,53369.5,53378.0,6253825,117.08968054999984
1616480220,53378.0,53387.0,53275.0,53275.5,5594807,104.89565358
1616480280,53275.5,53275.5,53267.5,53267.5,2392739,44.91384458
1616480340,53267.5,53366.0,53267.0,53352.0,5167034,96.90773611000006
1616480400,53352.0,53415.0,53352.0,53415.0,3801158,71.19035591000011
1616480460,53415.0,53415.0,53275.5,53279.0,2995529,56.16772861000002
1616480520,53279.0,53279.0,52992.0,53125.5,57865772,1090.3599063800025
