dt,open,high,low,close,volume,turnover
1616476260,4.144,4.146,4.144,4.144,1242,299.67061334
1616476320,4.144,4.145,4.144,4.145,2000,482.50904704
1616476380,4.145,4.145,4.132,4.132,77668,18767.148618359995
1616476440,4.132,4.141,4.132,4.138999999999999,97670,23605.51904836
1616476500,4.138999999999999,4.138999999999999,4.125,4.125,149496,36215.322879179985
1616476560,4.125,4.128,4.1160000000000005,4.123,145036,35182.87051574
1616476620,4.123,4.132,4.114,4.114,69149,16782.83849812999
1616476680,4.114,4.121,4.114,4.121,12191,2959.63319941
1616476740,4.121,4.121,4.115,4.117,93018,22604.39319681
1616476800,4.117,4.119,4.115,4.119,30936,7514.152079150002
1616476860,4.119,4.123,4.118,4.123,108894,26426.59149655
1616476920,4.123,4.133,4.117,4.117,54811,13270.12627217
1616476980,4.117,4.118,4.101,4.102,111954,27235.71975193002
1616477040,4.102,4.112,4.102,4.11,124188,30247.70552977
1616477100,4.11,4.11,4.09,4.09,197600,48241.97174643001
1616477160,4.09,4.09,4.0680000000000005,4.0889999999999995,252348,61843.23101860997
1616477220,4.0889999999999995,4.101,4.087,4.096,110301,26927.19790437
1616477280,4.096,4.101,4.092,4.0969999999999995,15320,3741.23274077
1616477340,4.0969999999999995,4.114,4.0969999999999995,4.104,41304,10047.93081106
1616477400,4.104,4.1160000000000005,4.102,4.1160000000000005,7026,1710.95323154
1616477460,4.1160000000000005,4.1160000000000005,4.109,4.109,13316,3237.73924446
1616477520,4.109,4.118,4.109,4.118,4080,991.1988542
1616477580,4.118,4.118,4.111000000000001,4.115,31809,7731.711471840002
1616477640,4.115,4.119,4.115,4.1160000000000005,3528,856.7152469399998
1616477700,4.1160000000000005,4.1160000000000005,4.103,4.107,70501,17163.03209717
1616477760,4.107,4.107,4.0889999999999995,4.098,153713,37509.03506253001
1616477820,4.098,4.11,4.098,4.11,62924,15330.781343719998
1616477880,4.11,4.111000000000001,4.1080000000000005,4.1080000000000005,20134,4899.84416238
1616477940,4.1080000000000005,4.1080000000000005,4.093999999999999,4.096,68035,16611.931209389993
1616478000,4.096,4.099,4.093,4.093,68624,16756.097006829998
1616478060,4.093,4.093999999999999,4.084,4.084,19430,4752.556778079998
1616478120,4.084,4.084,4.073,4.077,61500,15090.16482841
1616478180,4.077,4.093,4.077,4.092,53086,12999.23730657
1616478240,4.092,4.102,4.092,4.092,147879,36104.86736632
1616478300,4.092,4.104,4.092,4.104,141719,34570.905462930015
1616478360,4.104,4.107,4.102,4.107,48291,11763.164229270002
1616478420,4.107,4.113,4.107,4.113,28193,6864.256516900001
1616478480,4.113,4.113,4.112,4.112,11436,2781.12828638
1616478540,4.112,4.113,4.111000000000001,4.111000000000001,19948,4850.12238679
1616478600,4.111000000000001,4.111000000000001,4.11,4.11,1000,243.30900242
1616478660,4.11,4.115,4.11,4.114,29485,7169.58938363
1616478720,4.114,4.117,4.113,4.113,32507,7900.70019013
1616478780,4.113,4.125,4.113,4.125,19917,4832.859787989999
1616478840,4.125,4.125,4.118,4.118,85907,20855.38596166
1616478900,4.118,4.122,4.118,4.121,7820,1897.89179344
1616478960,4.121,4.122,4.121,4.122,52595,12762.443483879995
1616479020,4.122,4.125,4.121,4.125,41369,10029.50124438
1616479080,4.125,4.125,4.11,4.11,15066,3662.450833919999
1616479140,4.11,4.113,4.105,4.107,6909,1680.2667752999996
1616479200,4.107,4.11,4.103,4.103,9898,2410.2540097099995
1616479260,4.103,4.103,4.098,4.098,41116,10025.39906607
1616479320,4.098,4.112,4.098,4.111000000000001,16200,3939.83613439
1616479380,4.111000000000001,4.111000000000001,4.111000000000001,4.111000000000001,894,217.46533685
1616479440,4.111000000000001,4.12,4.111000000000001,4.12,86557,21031.68755026
1616479500,4.12,4.12,4.12,4.12,8,1.94174757
1616479560,4.12,4.12,4.106,4.106,33245,8088.776510740001
1616479620,4.106,4.107,4.0969999999999995,4.098,121563,29642.798936320003
1616479680,4.098,4.098,4.091,4.091,45238,11056.23416671
1616479740,4.091,4.091,4.08,4.084,110723,27108.52518883
1616479800,4.084,4.09,4.083,4.083,53661,13127.68234656
1616479860,4.083,4.086,4.082,4.082,3924,961.05367777
1616479920,4.082,4.084,4.064,4.064,88038,21589.49746921
1616479980,4.064,4.072,4.051,4.0569999999999995,326064,80212.43312888003
1616480040,4.0569999999999995,4.066,4.053999999999999,4.065,90432,22282.86676491
1616480100,4.065,4.078,4.065,4.073,45235,11109.082257680002
