dt,open,high,low,close,volume,turnover
1616476260,1688.25,1688.4,1686.3,1687.3,297055,176.03422371999994
1616476320,1687.3,1688.95,1687.25,1688.95,282624,167.39166805000002
1616476380,1688.95,1689,1686.9,1687.7,1049500,621.6224340400001
1616476440,1687.7,1689.25,1687.7,1689.2,258270,152.93379895000004
1616476500,1689.2,1689.25,1687.6,1687.65,236283,139.93654624999996
1616476560,1687.65,1688.1,1682.8,1687,2943105,1747.3094954500002
1616476620,1687,1688.6,1685.65,1685.65,1320712,782.6717307499999
1616476680,1685.65,1686.55,1683.4,1684.7,668000,396.57801437
1616476740,1684.7,1684.75,1682.4,1683.15,2622828,1558.7106074999992
1616476800,1683.15,1683.2,1680.6,1682.65,1679709,999.1521341499997
1616476860,1682.65,1684.9,1682.65,1684.85,423395,251.50514676999998
1616476920,1684.85,1685.35,1684,1684.05,444346,263.73331282
1616476980,1684.05,1684.05,1678.55,1678.55,1236999,736.3394657199999
1616477040,1678.55,1678.9,1677.5,1678.9,2807977,1673.1757204199992
1616477100,1678.9,1678.9,1670.4,1670.4,5682949,3395.1499103000024
1616477160,1670.4,1670.9,1665.25,1670.9,6726815,4033.531227780001
1616477220,1670.9,1675.2,1670.1,1673.05,2417804,1446.0816381400002
1616477280,1673.05,1675.2,1668.75,1668.95,2521125,1506.9792836200002
1616477340,1668.95,1675.5,1668.9,1672.9,2127709,1272.1862804700006
1616477400,1672.9,1677.1,1671.15,1677.05,1405228,839.0308866100004
1616477460,1677.05,1677.1,1675,1675.2,638404,381.07870317
1616477520,1675.2,1678,1675.15,1677.85,855684,510.20597614
1616477580,1677.85,1677.9,1676.35,1677.6,832971,496.6744573000001
1616477640,1677.6,1678,1676.55,1676.6,653854,389.71096538000006
1616477700,1676.6,1676.6,1671.05,1672,2792178,1669.132502410001
1616477760,1672,1672,1670.2,1671.2,636052,380.60913118999986
1616477820,1671.2,1675.1,1671.2,1675.05,551581,329.6157894099998
1616477880,1675.05,1675.15,1674,1674,81334,48.569251840000014
1616477940,1674,1674.35,1672.85,1673.9,907105,542.0300299299996
1616478000,1673.9,1675.15,1672.05,1672.05,846921,506.1140249200002
1616478060,1672.05,1672.3,1670.5,1670.55,1116642,667.9598448699999
1616478120,1670.55,1670.55,1667.2,1670.1,1148095,687.7681231399998
1616478180,1670.1,1672.9,1669.25,1672.9,1406430,841.5881877299994
1616478240,1672.9,1675.55,1672.85,1673.2,714231,426.4616088999999
1616478300,1673.2,1678,1673.2,1677.95,785168,468.87118624
1616478360,1677.95,1678,1675.4,1677.3,869398,518.4611273800002
1616478420,1677.3,1680.7,1677.3,1680.7,921120,548.5288751700002
1616478480,1680.7,1681.9,1678.8,1678.8,1529458,909.9962218399995
1616478540,1678.8,1679.55,1678.5,1679.55,507580,302.28914242999997
1616478600,1679.55,1679.55,1678.65,1679.1,49651,29.573006060000008
1616478660,1679.1,1681.15,1679.1,1680.95,366774,218.29773994
1616478720,1680.95,1681,1680,1680.05,280365,166.79566287
1616478780,1680.05,1682.2,1680.05,1682.2,332044,197.4171677500001
1616478840,1682.2,1682.2,1680.95,1681,68913,40.98718590000001
1616478900,1681,1681.3,1679.25,1681.3,185142,110.21808039000004
1616478960,1681.3,1681.35,1680.85,1681.35,161584,96.12076224
1616479020,1681.35,1682.2,1681.3,1682.2,104266,62.00137947
1616479080,1682.2,1682.2,1677.7,1677.7,767505,456.63786484999974
1616479140,1677.7,1678.55,1675.75,1677.7,722275,430.78024998
1616479200,1677.7,1678,1675.55,1675.6,734575,438.0113036100001
1616479260,1675.6,1675.6,1672.9,1674.1,1014307,606.0691085000003
1616479320,1674.1,1676.75,1674.1,1675.8,708536,422.73671982000013
1616479380,1675.8,1676.95,1675.8,1676.9,387151,230.9430745600001
1616479440,1676.9,1678.9,1676.9,1678.9,411579,245.24322326999987
1616479500,1678.9,1679.25,1677.95,1678,897672,534.95323231
1616479560,1678,1678,1675.4,1675.45,335934,200.40287929000002
1616479620,1675.45,1675.45,1672.9,1672.9,327742,195.68116438
1616479680,1672.9,1672.95,1670.45,1671.9,1076817,644.0605102699998
1616479740,1671.9,1672.8,1668.2,1669.55,877125,525.0304921900001
1616479800,1669.55,1671,1669,1669,1026130,614.5391936799998
1616479860,1669,1669.05,1666,1667.55,651571,390.80858776000014
1616479920,1667.55,1667.55,1663.15,1663.15,2391446,1436.2224014800001
1616479980,1663.15,1664.65,1661.9,1662.05,1765371,1061.6016596399998
1616480040,1662.05,1662.15,1659.05,1662.15,3392392,2043.2405455599974
1616480100,1662.15,1664,1660.95,1663.95,3727303,2241.835960679999
1616480160,1663.95,1665.45,1662.85,1662.85,1525198,916.5173703999998
1616480220,1662.85,1662.85,1656.8,1656.9,3843237,2318.288710530001
1616480280,1656.9,1658.05,1656.6,1658.05,1614669,974.4293181799997
1616480340,1658.05,1659.95,1657.7,1659.95,1505582,907.7429559199998
1616480400,1659.95,1662.8,1659.95,1662.8,1569777,944.59669956
1616480460,1662.8,1662.8,1658.5,1658.55,884191,532.6384896899999
1616480520,1658.55,1658.55,1651.5,1655.3,10936138,6614.427993369995
1616480580,1655.3,1658.55,1655.25,1658.55,2716657,1639.1549723499998
1616480640,1658.55,1661.3,1658.55,1660,1708196,1028.8688813400006
1616480700,1660,1667.65,1660,1667.65,3525889,2119.168403279999
1616480760,1667.65,1672.2,1667,1670.75,1565693,937.9722802099991
1616480820,1670.75,1670.75,1668.5,1670,1361479,815.4010932800013
1616480880,1670,1673.95,1669.65,1673,1449246,866.9469950600011
1616480940,1673,1673,1670.7,1671.85,1406023,840.86814898
1616481000,1671.85,1671.85,1669.6,1669.7,711362,425.82354672000025
1616481060,1669.7,1671.75,1669.7,1671.75,1118600,669.2793638900001
1616481120,1671.75,1673.9,1671.05,1671.05,783627,468.6229036399997
1616481180,1671.05,1671.1,1668.05,1668.05,1424744,853.8667708400008
1616481240,1668.05,1668.9,1665.75,1665.75,369184,221.46734629000014
1616481300,1665.75,1665.75,1663.1,1663.6,772761,464.4196185099998
1616481360,1663.6,1665.95,1663.6,1664.35,1239156,744.0933773800001
1616481420,1664.35,1664.35,1661.55,1661.55,754377,453.8842250200001
1616481480,1661.55,1665.8,1661.5,1665.8,948483,570.5154252099996
1616481540,1665.8,1667.9,1665.75,1666.35,425103,254.98577483999998
1616481600,1666.35,1667.35,1665.35,1665.35,430002,258.01323529
1616481660,1665.35,1665.35,1663.5,1664.95,1289148,774.5349846199998
1616481720,1664.95,1665.75,1662.75,1662.8,276586,166.15956342000004
1616481780,1662.8,1662.8,1661.6,1662.45,396819,238.75379992999996
1616481840,1662.45,1662.5,1660.3,1661.25,800148,481.7282190999999
1616481900,1661.25,1661.3,1658.4,1659.9,548962,330.82137966000016
1616481960,1659.9,1662.5,1659.25,1661.65,970526,584.09488982
1616482020,1661.65,1661.7,1659.4,1659.4,835964,503.3472095700002
1616482080,1659.4,1662.85,1659.25,1662.8,125702,75.63824198000002
1616482140,1662.8,1665,1662.8,1664.95,335087,201.38455656000014
1616482200,1664.95,1664.95,1662.2,1662.2,373816,224.6805705099999
1616482260,1662.2,1662.25,1661,1661.4,67818,40.80675231000001
1616482320,1661.4,1661.45,1658.3,1658.95,1438816,867.04508576
1616482380,1658.95,1659,1655.9,1656.65,1212871,732.1351770199999
1616482440,1656.65,1658.35,1656.6,1658,389777,235.16061883999998
1616482500,1658,1658.65,1655.75,1655.75,402603,242.8666468999999
1616482560,1655.75,1656.65,1655.55,1655.6,158175,95.52621963
1616482620,1655.6,1655.6,1653.65,1653.65,666268,402.67684847000015
1616482680,1653.65,1656.5,1653.65,1655.5,639045,386.0734290799999
1616482740,1655.5,1655.6,1654.7,1655.6,305462,184.53357954999993
1616482800,1655.6,1660.15,1655.6,1660.1,671347,404.8703158399996
1616482860,1660.1,1663.7,1660.1,1663.7,837746,504.03321863000025
1616482920,1663.7,1663.8,1662.3,1663.8,895382,538.2675590800005
1616482980,1663.8,1664.3,1662.75,1664.3,668987,402.16251011000014
1616483040,1664.3,1665,1663.75,1664.95,79828,47.96357989000001
