dt,open,high,low,close,volume,turnover
1616476260,0.569,0.5693,0.5683,0.5689,68221,119948.90658624994
1616476320,0.5689,0.57,0.5688,0.5688,87473,153624.36711390995
1616476380,0.5688,0.5704,0.5684,0.5691,251259,441370.80277513026
1616476440,0.5691,0.5701,0.5689,0.5701,84278,147918.68418203
1616476500,0.5701,0.5703,0.5685,0.5686,110027,193186.86798814
1616476560,0.5686,0.569,0.5649,0.5668,466519,824565.6894297098
1616476620,0.5668,0.5693,0.5668,0.5676,652258,1148394.2048928202
1616476680,0.5676,0.5708,0.5669,0.5701,538282,946201.26934347
1616476740,0.5701,0.5701,0.5685,0.5696,169915,298275.84618620004
1616476800,0.5696,0.5696,0.5677,0.5681,150472,264740.7130385601
1616476860,0.5681,0.5703,0.5681,0.5702,303851,533676.79278821
1616476920,0.5702,0.5702,0.5683,0.5685,153819,270042.46358416
1616476980,0.5685,0.5686,0.5660000000000001,0.5662,137828,242979.28713226988
1616477040,0.5662,0.5679,0.5660000000000001,0.5679,134822,237911.24305882
1616477100,0.5679,0.5679,0.561,0.5629,4507137,8010279.206941936
1616477160,0.5629,0.5646,0.5609,0.5645,1337875,2379060.4860173482
1616477220,0.5645,0.5663,0.5638,0.5660000000000001,234774,415169.40442030015
1616477280,0.5660000000000001,0.568,0.5652,0.5676,378618,668348.8429104602
1616477340,0.5676,0.5701,0.5675,0.569,273441,480463.55336505006
1616477400,0.569,0.5703,0.568,0.5682,658752,1157443.5171504605
1616477460,0.5682,0.5684,0.5667,0.5683,197298,347701.2046156399
1616477520,0.5683,0.57,0.568,0.57,387114,679788.4013338202
1616477580,0.57,0.57,0.5693,0.5695,37057,65071.91564416
1616477640,0.5695,0.5717,0.5695,0.5706,451117,790224.6981914202
1616477700,0.5706,0.5706,0.5676,0.5684,195408,343780.0997957198
1616477760,0.5684,0.5684,0.5660000000000001,0.5660000000000001,357528,630281.0837086902
1616477820,0.5660000000000001,0.5674,0.5660000000000001,0.5663,313902,553857.5188634
1616477880,0.5663,0.5666,0.5654,0.5660000000000001,148830,263002.74922051
1616477940,0.5660000000000001,0.5660000000000001,0.5642,0.5644,369048,653336.10352544
1616478000,0.5644,0.5644,0.5616,0.562,425520,755640.4831860799
1616478060,0.562,0.5623,0.5609,0.5613,622580,1108400.166250631
1616478120,0.5613,0.5614,0.5574,0.5587,1817764,3251580.522504828
1616478180,0.5587,0.5628,0.5584,0.5623,605062,1079911.519018301
1616478240,0.5623,0.5638,0.5623,0.5635,302460,537182.15455237
1616478300,0.5635,0.5652,0.5635,0.5652,298932,529574.0499672
1616478360,0.5652,0.5660000000000001,0.5638,0.5660000000000001,504978,893421.6320879697
1616478420,0.5660000000000001,0.5665,0.5653,0.5665,417028,736800.9801230297
1616478480,0.5665,0.5696,0.5664,0.5684,765018,1346218.73066772
1616478540,0.5684,0.5698,0.5682,0.5692,419249,736905.9921355995
1616478600,0.5692,0.5696,0.5679,0.5679,583920,1027032.26764975
1616478660,0.5679,0.5688,0.5678,0.5686,78337,137802.78828734005
1616478720,0.5686,0.5687,0.5671,0.5674,86220,151800.73421422995
1616478780,0.5674,0.5675,0.5670000000000001,0.5671,90566,159652.49492572993
1616478840,0.5671,0.5691,0.5666,0.569,248064,437127.6220665499
1616478900,0.569,0.5693,0.5676,0.5679,438135,770465.30049429
1616478960,0.5679,0.5686,0.5676,0.5684,55849,98322.22213567002
1616479020,0.5684,0.569,0.5673,0.5673,137475,242009.2026811
1616479080,0.5673,0.5673,0.5644,0.5645,237186,419580.60439916
1616479140,0.5645,0.5651,0.5628,0.5647,295140,523406.8859970101
1616479200,0.5647,0.5647,0.5624,0.5624,196300,348726.1903474201
1616479260,0.5624,0.5629,0.5617,0.562,268580,477626.45273128
1616479320,0.562,0.5651,0.562,0.5644,325735,577963.0317786593
1616479380,0.5644,0.5657,0.564,0.5654,130490,230902.13989828996
1616479440,0.5654,0.5659,0.565,0.5659,157919,279292.86868034
1616479500,0.5659,0.5663,0.5644,0.5645,140240,248213.04852893995
1616479560,0.5645,0.5645,0.562,0.562,145270,257912.2775248801
1616479620,0.562,0.5628,0.5595,0.5595,672452,1198909.4823625395
1616479680,0.5595,0.5595,0.556,0.556,1829217,3282280.9733245717
1616479740,0.556,0.557,0.5533,0.5563,2300080,4143179.1304616206
1616479800,0.5563,0.5587,0.5561,0.5562,271294,486633.4936193001
1616479860,0.5562,0.5562,0.5519,0.5537,810059,1464287.0187066402
1616479920,0.5537,0.5545,0.5505,0.5517,1182759,2142752.9854634497
1616479980,0.5517,0.5534,0.551,0.5519,496108,897983.31795559
1616480040,0.5519,0.5529999999999999,0.5493,0.5529,1139639,2069576.5976356
1616480100,0.5529,0.5562,0.5529,0.5558,677772,1221031.7810081998
1616480160,0.5558,0.5567,0.5547,0.5548,425684,765554.4527821902
1616480220,0.5548,0.5548,0.5489999999999999,0.5502,852930,1547891.07118667
1616480280,0.5502,0.551,0.5479999999999999,0.5506,534301,972173.46570047
1616480340,0.5506,0.5519,0.5492,0.5517,554283,1006104.2905992095
1616480400,0.5517,0.5539999999999999,0.5517,0.5526,361156,653119.5235539902
1616480460,0.5526,0.5526,0.5497,0.5498,306508,556826.21390017
1616480520,0.5498,0.5504,0.5462,0.5479999999999999,1101103,2009850.950927591
1616480580,0.5479999999999999,0.5504,0.5479999999999999,0.5503,421212,766589.1648691503
1616480640,0.5503,0.5517,0.5493,0.5505,377871,686454.2835350399
1616480700,0.5505,0.5561,0.5505,0.5556,1061325,1917695.128566029
1616480760,0.5556,0.5584,0.5553,0.5572,563285,1011880.4347676801
1616480820,0.5572,0.5579999999999999,0.5562,0.5579999999999999,517371,929172.51437463
1616480880,0.5579999999999999,0.5594,0.5576,0.5583,342382,613176.2317337801
1616480940,0.5583,0.5584,0.5568,0.5579,395315,708928.2239742698
1616481000,0.5579,0.5579999999999999,0.5566,0.5579999999999999,237468,426261.69014437
1616481060,0.5579999999999999,0.561,0.5579,0.5599,497330,888873.5937627907
1616481120,0.5599,0.5603,0.5581,0.5589,228908,409445.81192054
1616481180,0.5589,0.5589999999999999,0.5573,0.5579,172024,308398.08283492
1616481240,0.5579,0.5579999999999999,0.5557,0.5575,134710,242054.46550612012
1616481300,0.5575,0.56,0.5575,0.5581,96116,171978.26659764006
1616481360,0.5581,0.5599,0.5581,0.5587,34712,62040.50753041002
1616481420,0.5587,0.5587,0.5568,0.5571,25114,45063.2838764
1616481480,0.5571,0.56,0.5571,0.5595,106705,190746.48732210003
1616481540,0.5595,0.5622,0.5593,0.5615,375118,668209.4055347805
1616481600,0.5615,0.5625,0.5603,0.5604,489039,871282.7580220305
1616481660,0.5604,0.5618,0.5594,0.5618,312910,558554.3836990403
1616481720,0.5618,0.5623,0.5592,0.5592,319232,569397.3016775001
1616481780,0.5592,0.5593,0.5578,0.5578,530016,948784.73725582
1616481840,0.5578,0.5581,0.555,0.5564,500244,898551.5698883695
1616481900,0.5564,0.5564,0.555,0.5563,226593,407830.2587343399
1616481960,0.5563,0.5579,0.555,0.5573,269822,484665.3325229999
1616482020,0.5573,0.5575,0.5557,0.5557,151224,271757.77915423
1616482080,0.5557,0.5592,0.5557,0.5587,186635,334219.17629846
1616482140,0.5587,0.5608,0.5587,0.5602,151259,270179.4405727001
1616482200,0.5602,0.5609,0.5582,0.5582,131427,234866.98916875003
1616482260,0.5582,0.5587,0.5581,0.5582,49779,89143.22164617998
1616482320,0.5582,0.5582,0.5553,0.5555,120161,216042.77810298
1616482380,0.5555,0.5558,0.5536,0.5544,221042,398654.4887630699
1616482440,0.5544,0.5555,0.5544,0.5551,235472,424232.02553512994
1616482500,0.5551,0.556,0.5532,0.5534,204667,368865.2059311902
1616482560,0.5534,0.5534,0.552,0.5524,205358,371645.57082218985
1616482620,0.5524,0.5524,0.5513,0.5523,399195,723474.0010179701
1616482680,0.5523,0.5549,0.5521,0.5542,353370,639203.1633839698
1616482740,0.5542,0.5547,0.5539,0.5546,49258,88885.50930957998
1616482800,0.5546,0.5573,0.5543,0.5573,85362,153429.1435992599
1616482860,0.5573,0.5589,0.5573,0.5577,406976,728814.9399160595
1616482920,0.5577,0.5595,0.5575,0.5591,312295,559419.9514625297
1616482980,0.5591,0.5591,0.5573,0.5577,389095,697726.2794639198
1616483040,0.5577,0.5593,0.5572,0.5592,443948,795997.9872231302
1616483100,0.5592,0.5598,0.5591,0.5592,215291,384858.84936200007
1616483160,0.5592,0.5592,0.5576,0.5579,332483,595887.4493560999
1616483220,0.5579,0.5581,0.5572,0.5572,260328,466840.19382075005
1616483280,0.5572,0.5592,0.5571,0.5585,159439,285553.91826254
1616483340,0.5585,0.5601,0.5585,0.5599,142528,254711.33333711996
1616483400,0.5599,0.5604,0.5581,0.5581,239955,429321.38396397984
1616483460,0.5581,0.5611,0.5574,0.5605,166244,297203.73686968
1616483520,0.5605,0.5608,0.5599,0.5608,514638,918207.68787766
1616483580,0.5608,0.5613,0.5607,0.5613,183768,327543.99499561987
1616483640,0.5613,0.5625,0.5608,0.562,334538,595358.77292952
1616483700,0.562,0.5637,0.562,0.5636,459110,815542.38688273
1616483760,0.5636,0.565,0.563,0.5634,607115,1076307.5251810802
1616483820,0.5634,0.5651,0.5634,0.5643,564637,1000198.5413383099
1616483880,0.5643,0.5647,0.5633,0.5635,48121,85323.39236372997
1616483940,0.5635,0.5635,0.5622,0.5625,378993,673667.5436045999
1616484000,0.5625,0.5625,0.561,0.5619,142781,254134.86899952983
1616484060,0.5619,0.5646,0.5613,0.5643,326756,579706.75269443
1616484120,0.5643,0.5649,0.5638,0.5646,809621,1435181.9463536108
1616484180,0.5646,0.5668,0.5646,0.5668,378759,669583.0213090398
1616484240,0.5668,0.5668,0.5643,0.5657,253466,448304.84420720977
1616484300,0.5657,0.5664,0.5649,0.5651,360163,636790.6494489404
1616484360,0.5651,0.5665,0.565,0.5655,271499,479682.53798028
1616484420,0.5655,0.5658,0.5646,0.5658,469070,829696.9080444204
1616484480,0.5658,0.5660000000000001,0.5648,0.5648,72707,128552.27010125
1616484540,0.5648,0.5654,0.5648,0.5654,83430,147711.490713
1616484600,0.5654,0.5656,0.5649,0.5656,149424,264336.00810828
1616484660,0.5656,0.5675,0.5654,0.5664,335936,592753.8988287003
1616484720,0.5664,0.5670000000000001,0.5643,0.5648,396792,701735.0929552701
1616484780,0.5648,0.5648,0.5635,0.5637,164801,292190.66037732014
1616484840,0.5637,0.5649,0.5637,0.564,107578,190686.93112019
1616484900,0.564,0.5642,0.5623,0.5628,416748,740386.2506061696
1616484960,0.5628,0.5628,0.5609,0.5619,320405,570027.7840089307
1616485020,0.5619,0.5644,0.5619,0.5641,122319,217073.84919997
1616485080,0.5641,0.5641,0.5628,0.5633,257566,457006.26370723
1616485140,0.5633,0.564,0.5631,0.5637,313628,556750.4029874196
1616485200,0.5637,0.5641,0.5627,0.5628,650661,1154673.5268050905
1616485260,0.5628,0.5629,0.5621,0.5622,67203,119474.59338497
1616485320,0.5622,0.5637,0.5622,0.5628,98568,175164.24669342994
1616485380,0.5628,0.5635,0.5624,0.5635,257524,457599.2737249401
1616485440,0.5635,0.5636,0.5626,0.5636,685546,1217844.1091865695
1616485500,0.5636,0.5636,0.5628,0.5628,475400,844133.4684061002
1616485560,0.5628,0.5628,0.5623,0.5628,233023,414097.66904675006
1616485620,0.5628,0.5628,0.562,0.562,287159,510299.3426215601
1616485680,0.562,0.5621,0.5617,0.5621,253975,451985.19980576006
1616485740,0.5621,0.5624,0.5621,0.5624,50147,89183.55590338
1616485800,0.5624,0.5629,0.5622,0.5629,174921,311009.1329806101
1616485860,0.5629,0.5634,0.5629,0.5632,165956,294690.33757955994
1616485920,0.5632,0.5649,0.5628,0.5646,365694,648845.1014045803
1616485980,0.5646,0.5682,0.5646,0.5674,525572,926588.1696944204
1616486040,0.5674,0.5682,0.5661,0.5674,373755,658519.5988747997
1616486100,0.5674,0.568,0.5674,0.5679,125252,220577.03513344
1616486160,0.5679,0.5681,0.5669,0.568,216372,381298.07840791
1616486220,0.568,0.5705,0.568,0.5704,732284,1286005.3164711192
1616486280,0.5704,0.5710000000000001,0.5693,0.5710000000000001,358399,628505.92787436
1616486340,0.5710000000000001,0.5725,0.5697,0.5698,536170,938742.8671160705
1616486400,0.5698,0.5715,0.5693,0.5711,324792,569876.5600135098
1616486460,0.5711,0.5714,0.5704,0.5712,160081,280438.87915432
1616486520,0.5712,0.5723,0.5702,0.5702,199320,349001.64799489995
1616486580,0.5702,0.5702,0.5681,0.5689,399557,701951.2810343904
1616486640,0.5689,0.5701,0.5683,0.5701,94464,166020.08971384005
1616486700,0.5701,0.5704,0.5694,0.5701,144478,253473.64248998012
1616486760,0.5701,0.5701,0.5688,0.5688,131539,231093.54209158005
1616486820,0.5688,0.5691,0.5685,0.5689,224744,395127.45554941
1616486880,0.5689,0.5695,0.5684,0.5685,99808,175476.99163143005
1616486940,0.5685,0.5685,0.5674,0.5674,252866,445428.21342829015
1616487000,0.5674,0.5677,0.5667,0.5675,175541,309490.1705766901
1616487060,0.5675,0.5679,0.5666,0.5678,21681,38211.27145333002
1616487120,0.5678,0.5678,0.5672,0.5672,155108,273275.48894733
1616487180,0.5672,0.5672,0.5658,0.5661,350020,617934.07052981
1616487240,0.5661,0.5672,0.5660000000000001,0.5669,299738,528952.31996863
1616487300,0.5669,0.5672,0.5658,0.5658,74406,131396.91679729993
1616487360,0.5658,0.5661,0.5646,0.5646,437762,774283.1020131204
1616487420,0.5646,0.5664,0.5646,0.5654,375543,664536.2614969001
1616487480,0.5654,0.5654,0.5646,0.565,144310,255487.58557587
1616487540,0.565,0.5652,0.5649,0.5649,114021,201807.69358585
1616487600,0.5649,0.5654,0.5646,0.5653,148732,263140.94464899995
1616487660,0.5653,0.5653,0.5646,0.5647,103273,182789.61525418
1616487720,0.5647,0.5664,0.5647,0.5664,221821,392040.6121148899
1616487780,0.5664,0.5664,0.5659,0.5660000000000001,102222,180539.48090574995
1616487840,0.5660000000000001,0.5675,0.5659,0.5668,162196,285995.2684706701
1616487900,0.5668,0.5671,0.5667,0.5667,128293,226317.97373387998
